Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
3.579686165,-17.9754,346.9365,57.91123,0.4766851,-0.3932286,2.063127,-79.48418,5.202692,40.78731,1000.29
3.599754333,14.16904,538.921,77.38484,0.01927501,0.2081534,2.146944,-79.48418,5.202692,40.78731,1000.288
3.619822979,143.2432,604.5247,90.96107,-0.5604002,-0.8285002,2.198228,-83.22358,5.977623,23.38533,1000.288
3.639890671,10.32163,76.71612,50.1095,-0.5735,-0.741574,2.478116,-83.22358,5.977623,23.38533,1000.292
3.659958839,-8.356893,81.60213,-0.3252899,0.08717772,-0.336348,2.516289,-86.99915,7.849926,-3.132643,1000.292
3.680027485,-40.129,-35.30466,-10.03138,0.5043395,-0.5091909,1.632296,-86.99915,7.849926,-3.132643,1000.291
3.700096130,-59.80041,-124.8021,-12.24289,0.107643,-0.1520547,1.472308,-86.99915,7.849926,-3.132643,1000.291
3.720164299,-70.34974,-188.8566,-5.854074,-0.1727839,-0.06591696,1.261222,-77.70577,7.897516,10.78699,1000.294
3.740232944,-83.25716,-237.5975,-3.64256,-0.3806286,0.04358059,1.105249,-77.70577,7.897516,10.78699,1000.294
3.760301113,-84.87059,-262.2659,2.991981,-0.5368035,0.09490618,0.9973295,-62.38522,-1.246995,37.28802,1000.29
3.780369759,-82.01607,-275.3152,7.537869,-0.6922681,0.1084195,0.9445034,-62.38522,-1.246995,37.28802,1000.29
3.800437450,-90.33142,-276.4473,17.12109,-0.8103745,0.2629763,0.9085836,-62.38522,-1.246995,37.28802,1000.293
3.817996979,-100.5084,-267.3307,29.28442,-0.9035099,0.2208721,0.9086874,-30.55892,-3.583949,48.18587,1000.293
3.838065624,-92.81362,-250.8255,32.90884,-1.036418,0.01271321,0.9967287,-30.55892,-3.583949,48.18587,1000.293
